t_abs_unix,t_rel_s,exg_status,exg_ch1_24bit,exg_ch2_24bit,device_timestamp,emg_ch1_filtered,emg_ch1_envelope,emg_cycle_peak,emg_X
1756958138.6138966,11.783755540847778,128,1263165,724350,13711920,357042.8907192859,334187.0082634888,0,
1756958138.6148963,11.784755229949951,128,1294540,729905,13711952,346111.0742782955,334479.2568336427,0,
1756958138.6158962,11.785755157470703,128,1310535,736380,13711984,325529.0152387897,334259.84310038,0,
1756958138.618402,11.78826093673706,128,1315110,737680,13712016,255411.6652483741,329588.40688535577,0,
1756958138.618402,11.78826093673706,128,1308525,737480,13712048,251125.15961768632,329391.7016106781,0,
1756958138.6204047,11.790263652801514,128,1290485,740970,13712080,185667.181540189,322504.18293052533,0,
1756958138.6214046,11.791263580322266,128,1260715,744290,13712112,143234.02129217793,318109.4037493353,0,
1756958138.624407,11.794265985488892,128,1211350,743495,13712144,66317.98936634016,300442.6665028889,0,
1756958138.6269178,11.79677677154541,128,952430,784785,13712176,-126179.70673061552,290098.8850453213,0,
1756958138.6289222,11.798781156539917,128,680095,823145,13712208,-307924.3338644677,290953.7879929195,0,
1756958138.6299248,11.799783706665039,128,486240,838755,13712240,-430777.39989429584,294390.3106844802,0,
1756958138.631925,11.801784038543701,128,390860,838760,13712272,-451445.0969140018,301908.10692272853,0,
1756958138.6329253,11.802784204483032,128,275310,828070,13712304,-492439.12487975974,306580.0305722248,0,
1756958138.633925,11.803783893585205,128,110960,813720,13712336,-569207.3521742044,313016.79963457515,0,
1756958138.634925,11.804783821105957,128,184390,770320,13712368,-491904.75946384657,317402.2091998838,0,
1756958138.635925,11.805783987045288,128,301665,747840,13712400,-356421.71558139764,318358.9886083504,0,
1756958138.637427,11.807286024093628,128,437525,733290,13712432,-185487.46401139846,313525.51277398673,0,
1756958138.6384304,11.808289289474487,128,805095,706940,13712464,97632.3669032102,308215.6943514939,0,
1756958138.640435,11.810293912887573,128,1224285,678585,13712496,433325.10540805245,314216.5820400103,0,
1756958138.6414332,11.811292171478271,128,1200175,708465,13712528,420700.7641762034,316822.7743140262,0,
1756958138.6434338,11.813292741775513,128,1243940,719950,13712560,375562.85920850316,319634.8255335384,0,
1756958138.644434,11.814292907714844,128,1281090,727995,13712592,363728.6771933383,320716.03063376655,0,
1756958138.6454341,11.815293073654175,128,1303990,732165,13712624,346009.29708796844,321336.2352124617,0,
1756958138.6469367,11.816795587539673,128,1312875,737455,13712656,303309.1441294468,320680.2619762094,0,
1756958138.6479402,11.817799091339111,128,1320420,736470,13712688,276549.49328981125,319594.6291569981,0,
1756958138.64894,11.818799018859863,128,1299800,738865,13712720,234023.66206306676,317496.8706607607,0,
1756958138.6504426,11.820301532745361,128,1275705,743060,13712752,177289.19551471728,312394.9669764989,0,
1756958138.6514454,11.821304321289062,128,1240985,742155,13712784,131058.96372677654,307937.1373252288,0,
1756958138.652445,11.822304010391235,128,1106235,758470,13712816,21127.7843188619,300907.6875369773,0,
1756958138.654446,11.824304819107056,128,790375,806660,13712848,-223374.76083876134,297195.54955130373,0,
1756958138.654446,11.824304819107056,128,610550,827590,13712880,-271317.34956006164,297130.673591989,0,
1756958138.6569495,11.826808452606201,128,418905,842070,13712912,-455175.0374590376,306486.6205521309,0,
1756958138.6579537,11.827812671661377,128,345095,831985,13712944,-482980.1657729257,310831.4438671595,0,
